cepet,cepat
kelen,kalian
terimkasih,terima kasih
mskin,makin
tks,terima kasih
iyh,iya
gwe,saya
amat,sekali
bng,bang
bsok,besok
klau,kalau
mash,masih
melkukan,melalukan
ere,era
prjlnn,perjalanan
gopud,gofood
tll,terlalu
maff,maaf
bwt,buat
oembelian,pembelian
bgm,bagaimana
b,biasa
stlh,setelah
bbrpa,beberapa
mlnjutkan,melanjutkan
wrg,warung
stdby,standby
tapj,tapi
ngalihin,mengalihkan
nyuekin,cuek
ap,apa
gjlas,tidak jelas
padet,padat
benerin,benarkan
oesanan,pesanan
dprbaiki,diperbaiki
gga,tidak
sriusan,serius
kenceng,kencang
bhkn,bahkan
lola,lemot
psen,pesan
ndk,tidak
pakek,pakai
terimakasih,terima kasih
dekar,dekat
ngebantu,membantu
trkdng,terkadang
hanyak,hanya
sempet,sempat
alamatx,alamat
mbl,mobil
samasekali,sama sekali
ckap,cakep
nyg,yang
gabis,tidak bisa
kweren,keren
bekuin,bekukan
bykin,perbanyak
berblnja,berbelanja
nambaj,nambah
sepaoh,separuh
adm,admin
sgtu,segitu
ordeeean,orderan
kepana,kenapa
biyar,biar
laen,lain
bikkin,bikin
tuk,untuk
mna,mana
oks,oke
bankrut,bangkrut
hmpr,hampir
gnt,ganti
mggu,minggu
nanyae,bertanya
trbaik,terbaik
pembyrn,pembayaran
terbntu,terbantu
mnitan,menit
trutama,terutama
samarkn,samarkan
trpilih,terpilih
tmn,teman
ketagian,ketagihan
jrang,jarang
layana,layanan
planyanansangat,pelayanan sangat
mangstap,mantap
trsebut,tersebut
mtor,motor
msen,mesan
pedahal,padahal
mnjauh,menjauh
dcancel,membatalkan
aktvts,aktivitas
ndak,tidak
smuanya,semuanya
trhapus,terhapus
smga,semoga
mklum,maklum
jade,jadi
unggulam,unggulan
smakin,semakin
gpjek,gojek
daata,data
existensi,eksistensi
nempertahankan,mempertahankan
mwmbantu,membantu
sskarang,sekarang
kalou,kalau
dapetnya,dapat
nomer,nomor
nyalip,menyalip
sebell,sebal
memudahkqn,memudahkan
slalun,selalu
kesian,kasihan
nyiksa,menyiksa
gojem,gojek
kenapsih,kenapa sih
ksana,kesana
ferivikasi,verifikasi
narik,tarik
kmren,kemarin
kece,keren
tsb,tersebut
seblah,sebelah
malem,malam
dscrennsot,discreenshot
gjelas,tidak jelas
tadisiang,tadi siang
giod,bagus
steaming,streaming
memberis,memberi
laiks,suka
gweh,saya
krnapa,kenapa
ojg,ojek
dsiruh,disuruh
perfome,performa
ngha,tidak
tau,tahu
updete,memperbarui
kren,keren
verifi,verifikasi
dam,dan
kmrn,kemarin
lw,kamu
gofay,gopay
gofud,gofood
gotik,gotix
ntr,nanti
ngasi,memberi
dipake,dipakai
sblh,sebelah
dk,sudah
drivwr,pengemudi
anggep,anggap
tuker,tukar
inpokan,informasikan
fav,favorit
krng,kurang
membatntu,membantu
menbantu,membantu
diinstal,memasang
alsih,kasih
kwcewa,kecewa
prem,premium
malez,malas
memventu,membantu
potongan,potongan
jmpt,jemput
goopay,gopay
goshoop,goshop
kle,kali
goseng,gosend
ortu,orang tua
mgnglkan,mengandalkan
kuck,beruntung
menghdpi,menghadapi
kdang,kadang
draivernya,pengemudi
ferry,very
persen,pesan
goffod,gofood
censel,membatalkan
smestinya,semestinya
dtgny,datang
gopod,gofood
gored,gorid
gosen,gosend
baget,banget
aekali,sekali
trbilang,nan
paymen,payment
deriver,pengemudi
dikensel,membatalkan
leter,later
nie,ini
castemer,pelanggan
kastemer,pelanggan
jlk,jelek
bner,benar
pnting,penting
ubahlh,ubahlah
bjntang,bintang
maafkn,maafkan
mksh,makasih
mrmbantu,membantu
onli,online
bsnyakin,banyakin
daftra,daftar
dreferl,pengemudi
ngerekrut,merekrut
plyammya,pelayanan
grtis,gratis
mlah,malah
colaborasi,kolaborasi
dksh,dikasih
kmudian,kemudian
sampek,sampai
guna,berguna
drngan,dengan
riting,penilaian
pakein,pakaikan
muter,mutar
pwercaya,percaya
mmg,memang
telen,telan
maen,main
riendly,friendly
keafaan,keadaan
blas,balas
castamer,pelanggan
gopat,gopay
lagu,lagi
pemaika,pemakai
teroooss,terus
trjadi,terjadi
dtg,datang
bangedt,banget
konsisyen,konsisten
admind,admin
goojek,gojek
Memudahkqn,Memudahkan
anter,antar
plih,pilih
unfaedah,tidak berfaedah
mgu,minggu
pakia,pakai
gopqy,gopay
sengke,bangkai
tibah,tiba
setres,stres
porgam,program
kesihan,kasihan
fiktur,fitur
gunaiin,gunakan
gimanaa,bagaimana
kyk,seperti
bauk,bau
taex,tahi
brpotensi,berpotensi
seoerti,seperti
banyakin,perbanyak
sory,sorry
dryver,pengemudi
discone,diskon
tida,tidak
kocak,lucu
menngikuti,mengikuti
becandaan,bercandaan
segede,sebesar
kenapamacet,kenapa macet
rekg,rekening
jkarta,jakarta
reffund,refund
shrus,seharus
repoot,repot
toling,tolog
sangatbsenang,sangat senang
separonya,separuh
nyicil,cicil
gwsama,saya sama
tengok,lihat
cus,pelanggan
bekum,belum
goggle,google
baiaya,biaya
manthaap,mantap
mnding,mending
sekses,sukses
mantqpppp,mantap
ex,mantan
discoublnt,diskon
pelayananny,pelanyanan
bagussssse,bagus
ditelfon,ditelepon
lokadi,lokasi
ddlmnya,didalam
kt,kata
nasipnya,nasib
sekaleee,sekali
kereeee,miskin
kereeenn,keren
murce,murah
bsgus,bagus
nantul,mantap betul
gopaypinjam,gopay pinjam
mamtap,mantap
kssel,kesal
taik,tahi
wlapun,walaupun
cariin,carikan
kebanyakn,kebanyakan
blng,bilang
najoonk,najis
makkn,makin
konfol,kontol
tingkatnkan,tingkatkan
bebanin,bebankan
dicuba,dicoba
kusus,khusus
sangan,sangat
matiin,matikan
oelh,oleh
xontol,kontol
syrat,syarat
bagusjob,bagus kerja
adanys,ada
frefikasi,verifikasi
mnderita,menderita
barux,baru
ordernx,order
berhrp,berharap
ordere,order
krmin,kemarin
maximal,maksimal
gopey,gopay
buwat,buat
oky,oke
unist,memasang
nyerah,menyerah
brmlasah,bermalasah
dihunakan,digunakan
wilaya,wilayah
ttup,tutup
pengemudix,pengemudi
cstmer,pelanggan
aktip,aktif
faham,paham
cacad,cacat
brngkt,berangkat
ckp,cukup
menyukitkan,menyulitkan
semangt,semangat
naruk,taruh
nyari,cari
ngecewain,mengecewakan
yerutama.terutama,nan
bkin,bikin
ngandelin,mengandalkan
negri,negeri
ngantar,mengantar
slmet,selamat
sjak,sejak
smntra,sementara
smntr,sementara
stdkny,setidak
perjmputan,penjemputan
diandelin,diandalkan
oengantaran,pengantaran
penglmn,pengalaman
loging,masuk
sayamakasih,saya makasih
golek,gojek
mantaap,mantap
hatihati,hati hati
dowload,unduh
verif,verifikasi
pedning,pending
gojeksebab,gojek sebab
karyawannyalagian,karyawan lagian
maluin,memalukan
sulitpula,sulit juga
instal,memasang
gajelassss,tidak jelas
ketulung,tertolong
mantapjagan,mantap jangan
canggihtapi,canggih tapi
gopaydisuruh,gopay disuruh
bisadgn,bisa dengan
lainbikin,lain bikin
terusnerus,terus menerus
ginitunggu,begini tunggu
ovotidur,ovo tidur
diantaroke,diantar
gunain,menggunakan
rb,ribu
gini,begini
nyangkut,tersangkut
masukbelum,masuk belum
seharihari,sehari hari
pesan ditambah,pesan ditambah
melongonyender,melongo bersandar
jekjangan,jek jangan
dibagusindulu,membaguskan dulu
ordermikir,order pikir
mantappppp,mantap
balikin,balikan
lamamau,lama mau
memasukan,memasuki
krrna,karena
bangett,banget
gaaktif,tidak aktif
ngambil,mengambil
ralisasi,realisasi
uninstal,menghapus
lagibeda,lagi beda
krn,karena
lamaterbantu,lama terbantu
kmari,kemari
bepergihan,bepergian
nyalahin,menyalahkan
blokkkkkkkk,blok
statusnyamana,status dimana
errorpadahal,kesalahan padahal
sekrg,sekarang
jelassaya,jelas saya
sayakembalikan,saya kembalikan
kemaren,kemarin
sumpahin,menyumpahi
gausah,tidak usah
aplikasih,aplikasi
patner,mitra
gopatner,gopartner
semalem,semalam
okeeeeee,oke
gitui,seperti ini
daunnn,daun
jngn,jangan
jauhhhh,jauh
dibagusin,membaguskan
saatsaat,saat saat
daftarin,daftarkan
terhambatharus,terhambat harus
nahan,menahan
bangsaaatttt,bangsat
tambahi,tambahkan
mudahmudahan,mudah mudahan
verifikasinyagua,verifikasi saya
sedangkn,sedangkan
jm,jam
orderanorderannya,order
hematterimaksih,hemat terima kasih
awaspembobolan,awas pembobolan
ak,aku
lagibuat,lagi buat
gunanya,fungsi
ketokopedia,ke tokopedia
ovopoin,ovo poin
tinggak,tinggal
klick,klik
ngeselin,menyebalkan
dipromosisiin,mempromosisisikan
mengeceewakan,mengecewakan
menyenangkanmembantu,menyenangkan membantu
buruktf,buruk transfer
jelasente,jelas kamu
saldony,saldo
makenya,pakai
sekarangsaya,sekarang saya
ditinggalin,meninggalkan
ituketimbang,itu ketimbang
siiippp,sip
ngajukan,mengajukan
mantapp,mantap
belom,belum
teruss,terus
lakukan,melakukan
susahh,susah
kagak,tidak
ampe,sampai
mintadi,minta di
